Anos,TempMaxMedia,TempMinMedia
1980,30.646138350085256,18.736349597413923
1981,31.75674764111722,19.720000586237546
1982,31.858422924488433,20.536772688282984
1983,31.809621095750128,20.282959549411164
1984,31.548097577555307,20.037914967247556
1985,30.980458269329237,20.310030721966204
1986,31.205820532514082,20.431310803891453
1987,32.04821940604199,19.828831285202252
1988,31.634434865900378,18.858742429860335
1989,31.405695084485405,17.756373527905783
1990,31.28213389656938,16.08280004253544
1991,30.571418999999995,23.052156405030725
1992,30.571418999999995,23.05215639899889
1993,30.934066401433693,20.472750896057345
1994,28.20282509642857,20.816451612903226
1995,28.45314832014849,20.896322324628777
1996,29.36461928144543,20.941452539859107
1997,31.616475934459803,21.882629288274448
1998,31.88921146953405,21.498400537634407
1999,31.051111751152078,20.812590245775734
2000,30.99426646891608,21.09596667237101
2001,31.38323220686124,21.352239481257836
2002,31.446237199180747,21.61467402051662
2003,31.785288658474148,21.042558243727594
2004,31.338016623408723,21.13144388827092
2005,32.11428187403994,20.94498847926267
2006,31.660328230661936,21.193846911029894
2007,31.808899769585253,21.252654183660862
2008,30.887558243727597,21.110618279569895
2009,30.9505958781362,21.453330773169487
2010,31.903533666154633,20.99026625704045
2011,31.65929915514593,21.285030721966205
2012,31.580252440983802,21.235480163144235
2013,31.850167690732206,21.491354966717868
2014,31.58904039506442,21.881882740572024
2015,32.31055004135649,22.446220558115716
2016,32.72317928209474,21.902167222840195
2017,32.33049971749916,21.924629195578863
