Anos,TempMaxMedia,TempMinMedia
1980,28.45108392040539,23.075533220332996
1981,28.649741373348686,21.908863166666677
1982,28.545172394854063,21.500578000000015
1983,28.54517240560675,21.500578000000015
1984,28.545172393622536,21.500578000000015
1985,28.545172405606753,21.500578000000015
1986,28.57006905591398,22.87983910007041
1987,29.134747183819766,23.530832509210185
1988,29.017191939438877,23.028984773105922
1989,28.907968177112135,21.954542746351777
1990,28.545172394854063,21.500578000000015
1991,29.589062339989763,22.533168060533654
1992,28.638917622296375,21.987318555555557
1993,28.857288146441373,22.733680875576038
1994,29.15657514080901,22.93412570404506
1995,29.112945733354522,22.786403610185516
1996,29.163407798788768,23.567237362501544
1997,29.092539704610058,23.075815000205992
1998,29.820417306707622,23.20164761257364
1999,29.09386520737327,21.45734318996416
2000,28.82218329007539,21.584433629959218
2001,29.013746159754223,22.412945402298845
2002,29.261661546338967,23.126107270865333
2003,29.545341141833088,23.62225038402458
2004,29.480217525645774,23.209372141886046
2005,29.767549923195087,23.476879800307216
2006,29.246015082896346,23.499615556085242
2007,29.426334129828756,23.511307248108324
2008,29.77025296388199,23.544514584105798
2009,30.03231310803892,23.95980094726063
2010,30.306043906810043,23.917471198156687
2011,29.911980926779318,23.49670506912442
2012,29.619482140650117,23.55177851934248
2013,30.051154633896573,23.394343234595365
2014,30.02026133534615,23.325455709165382
2015,29.883509344598053,23.470273297491037
2016,29.65311735261402,23.438436843406254
2017,29.165433307731693,22.99430306160284
