Anos,TempMaxMedia,TempMinMedia
1980,24.658194778556048,15.56340248398944
1981,25.396110169652587,15.597813005282744
1982,24.76792569562797,15.343379512176362
1983,24.099073220686122,15.620901177675371
1984,24.70880947966877,15.563593807934742
1985,25.33808499999998,16.13202999999999
1986,25.33808499999998,16.13202999999999
1987,25.33808499999998,16.13202999999999
1988,24.611154369052034,14.539372759856628
1989,25.080837813620068,14.887002048131079
1990,24.848151135005978,14.986395858223815
1991,26.071209037378395,15.797373271889398
1992,25.367361883574343,15.146568100358422
1993,25.31913909567135,14.87260752688172
1994,25.603467741935486,15.52242370270318
1995,25.604018177163336,15.482482718894012
1996,25.056054257817326,15.386599925843528
1997,25.449113543266776,15.99708461341526
1998,24.50097158218126,15.763102278545828
1999,24.84235151049667,15.29857654889913
2000,24.923643554566798,15.220678840687185
2001,25.59329062581575,16.496549661336864
2002,25.4090675265286,16.62202700972862
2003,25.465827868368194,16.01998567292922
2004,25.461773266592516,15.672035904090967
2005,25.818747439836145,16.27223374295955
2006,25.829028417818737,16.136002304147468
2007,25.404978878648233,15.903593189964162
2008,25.05394357928563,15.543633358052157
2009,25.291576420890937,15.630397465437786
2010,25.290579237071174,15.727163978494623
2011,25.406015745007675,15.685282258064518
2012,27.34445742182672,16.312177419354835
2013,25.344519969278036,15.331448412698416
2014,26.254693420378903,16.656153993855607
2015,25.750142729134662,16.851427291346646
2016,25.19287881596836,15.701892534915336
2017,26.68314964157706,16.716111751152074
