Anos,TempMaxMedia,TempMinMedia
1980,23.596459328543556,13.229294398527218
1981,23.35643808687287,12.78160426731079
1982,22.616614231409837,13.05073770662967
1983,22.26041026625704,13.437494239631336
1984,23.195053677732705,13.285532849148579
1985,23.79246930457457,13.075966552534537
1986,23.475983742959546,13.435240655401948
1987,23.205375064004098,12.976034946236558
1988,22.886969781238417,12.805686256334196
1989,22.381581541218637,12.604207629288274
1990,23.008440860215057,13.15599398361495
1991,23.466954685099847,13.142058371735791
1992,23.156328945742185,12.996491163020638
1993,23.360892217101895,12.980130568356378
1994,23.884046338965693,13.492004608294932
1995,23.673271889400922,13.359673579109064
1996,22.698309529581778,13.363522741317512
1997,23.647681771633376,13.685808371735794
1998,22.895571556579622,13.799208269329236
1999,22.896844598054273,13.041834357398875
2000,23.551240575948583,13.285285502410085
2001,22.053992970549775,13.298734860087038
2002,24.97228686635945,14.61731950844854
2003,24.412014208909373,13.30223566308244
2004,23.511584785564207,12.672457669014955
2005,24.146732590885815,14.034959677419351
2006,24.483268689196112,13.81564708141321
2007,24.913328853046597,13.91826420890937
2008,23.28270640217526,13.439406748238783
2009,23.763808243727595,14.13378904249872
2010,23.375094726062468,14.069711981566817
2011,23.02327188940092,13.62452636968766
2012,24.248811333580523,14.231263440860216
2013,23.20955389144905,13.692719534050179
2014,24.307242703533024,14.799347158218126
2015,24.30547491039427,15.13174731182796
2016,23.712458904956122,14.049028859226299
2017,24.303322452636966,14.597677931387613
