Anos,TempMaxMedia,TempMinMedia
1980,29.04997600000001,21.917155999999988
1981,28.82026478800249,22.79874269706859
1982,29.484339101514436,22.937503999158096
1983,29.19162903807604,23.176960533730163
1984,29.421997513450123,22.972476969629838
1985,29.331497515873014,22.973453870449305
1986,29.324574932923706,22.557511335893498
1987,29.919506528417823,23.137795058883768
1988,29.716501831417627,22.23130113819985
1989,29.334787846908085,22.316756333288527
1990,29.675157163161895,22.400148334956906
1991,29.38075183478409,23.557646179470435
1992,29.262998345740282,23.72075599669148
1993,29.787784178187398,24.103181680409154
1994,29.557646311892693,24.004865042889747
1995,29.61575716845878,23.89705428871586
1996,29.514621390021844,23.701961472967216
1997,29.82340629800308,23.795643241167436
1998,30.470328341013822,24.65413937885128
1999,29.808111239119302,24.079937695322844
2000,29.640679767643054,23.78822382011759
2001,29.85815668202765,23.53068356374808
2002,29.77315540194572,23.98040258576549
2003,29.98473793231858,23.767550330493876
2004,29.887113150414038,23.62251792114695
2005,30.224293394777273,24.438685995903736
2006,30.10855798771121,24.69241423451101
2007,29.850595878136193,23.84297724985434
2008,30.024301384254112,23.29367259918428
2009,30.294391321044543,23.100198412698415
2010,30.713838965693807,23.912494901742676
2011,30.23971379133782,24.297956062291437
2012,30.224320232356945,24.105368619453714
2013,30.368507424475165,24.595323750375197
2014,30.157558243727603,23.949947516641064
2015,30.42262032770097,24.36744943676396
2016,30.87001761216166,23.718286985539493
2017,31.07019905273938,23.53396153353815
