Anos,TempMaxMedia,TempMinMedia
1980,27.942545111852677,22.832414102088745
1981,26.554029647542233,21.70039783333333
1982,26.55277639485406,21.300434
1983,26.55277640560675,21.300434
1984,26.552776393622533,21.300434
1985,26.552776405606746,21.300434
1986,28.079540106144393,22.67971412293267
1987,29.23059872521497,23.711562482142863
1988,28.230545232480534,23.00600911442652
1989,27.13807531721709,21.770999956989247
1990,28.06186332497836,22.617774670450014
1991,28.3533106670551,22.451886757286506
1992,28.393578049684834,22.997635953528615
1993,29.013248847926267,23.00765488991296
1994,28.740839093702004,22.938257168458787
1995,29.020958781362,23.293897209421402
1996,28.561382400197754,23.232749042145596
1997,28.565759728622627,23.205178571428572
1998,29.451861879160262,24.155590117767535
1999,28.520837813620066,23.021628264208914
2000,28.80822549746632,23.16029230008652
2001,28.95889144905274,23.11926651305684
2002,29.170794290834607,23.146558499743985
2003,29.40897657450077,23.12237583205325
2004,29.00599585959708,22.521358917315535
2005,29.345101766513054,23.189893753200206
2006,29.324873911930357,22.599199308755768
2007,29.25050132863676,22.22935951762982
2008,29.372957607217895,21.5067454579162
2009,29.574041858678957,22.27245775729647
2010,29.330874935995904,21.91745903737839
2011,28.628120199692777,20.91923387096774
2012,29.109322086268694,21.809521072796937
2013,29.13527948455368,21.91218061955965
2014,28.35506592421915,21.86785195141378
2015,29.199721582181265,22.909062980030722
2016,29.444183307731702,23.012116858237544
2017,29.05772209421403,22.208453020993346
