Anos,TempMaxMedia,TempMinMedia
1980,28.156059373199795,21.553952995800543
1981,27.822405185834835,21.350987666217623
1982,27.4751885547081,21.18113280802333
1983,27.44309395215694,20.656260237762414
1984,28.038413765739715,22.03377516129032
1985,28.03832281121352,22.037061999999995
1986,28.16393722552483,21.881722112096778
1987,28.181260040450592,21.89115938140681
1988,28.00789125420529,21.973265796669143
1989,28.051548183320538,21.94818293318613
1990,29.518116993133066,22.6048344253001
1991,28.132453923650687,21.563783969479775
1992,27.680620536522067,21.406267841675938
1993,28.791532898105483,21.947606246799793
1994,28.575775729646697,21.856034306195596
1995,28.86426587301587,22.071033666154634
1996,28.372635953528615,21.658020331232233
1997,28.857444956477213,21.79437788018433
1998,29.299765745007676,22.36063620071685
1999,28.307065412186375,21.46573796722991
2000,28.39733778272154,21.31949110122358
2001,29.088435537769154,21.616031319337775
2002,29.342802739375315,22.336316564260112
2003,29.336993087557598,22.194920634920635
2004,28.48658231368187,21.667307193177606
2005,28.901029825908864,21.775915898617512
2006,28.950812852022526,21.418024833589353
2007,29.3619143625192,21.62982590885817
2008,28.926944135459152,21.53823569398097
2009,29.555544034818222,22.454241551459294
2010,29.26575716845878,22.155828213005634
2011,28.60130312339989,21.600729646697385
2012,29.148193671981208,21.96325948584847
2013,29.11293010752688,21.905306579621097
2014,29.49156426011265,22.070067844342038
2015,30.491298003072192,22.87897529441884
2016,29.91324313339608,22.5609309726857
2017,28.992279185867886,21.91728366615463
