Anos,TempMaxMedia,TempMinMedia
1980,31.485361821777285,22.342953281423803
1981,31.870736047107012,22.327818100358424
1982,31.615490271377364,22.004152497483975
1983,31.959240911418323,22.06283154121864
1984,31.293538499567422,21.520833951303914
1985,30.77624935995904,21.787869303635436
1986,31.027403993855604,21.94483278616106
1987,31.896612263184846,22.78957757296467
1988,31.50182486713632,22.802619886293414
1989,31.321864064127695,22.34636405971361
1990,31.74788779370769,22.69429659498208
1991,31.217715053763445,22.53446556579621
1992,31.235047274749718,22.470898485089254
1993,31.098133000512036,22.756196236559134
1994,31.195101126472096,22.966276881720432
1995,31.638506784434213,23.204207629288277
1996,31.545512297614636,23.227036522061553
1997,31.930985023041476,22.88392089093702
1998,32.77033090117767,23.612379032258065
1999,32.10821428571428,22.917948028673834
2000,31.94088338895068,22.695191879866524
2001,32.211354326676904,22.65881144393241
2002,32.25288210445469,22.798952892985152
2003,32.519366999487964,22.90165770609319
2004,32.3483140879637,22.79730414746544
2005,33.01785138248849,23.0134579868284
2006,32.3406387608807,23.136203917050693
2007,31.624648617511525,23.11194252432156
2008,31.862342108515634,23.1369623655914
2009,31.982294546851005,23.165492831541215
2010,32.74073924731183,23.88352918586789
2011,32.666807475678446,23.467486559139786
2012,32.25504233098504,22.679953652206155
2013,32.75782514080901,23.04317268305171
2014,32.52808051715309,22.990429467485914
2015,33.023767281106,23.279544930875574
2016,33.048559510567294,24.04244036583859
2017,33.00758934971838,23.497419568185695
