Anos,TempMaxMedia,TempMinMedia
1980,31.228097105796564,23.67512499964467
1981,31.183275729646695,23.88562147977471
1982,30.659025857654886,23.51062275985663
1983,31.368470942140302,23.817036610343067
1984,30.572245396119143,23.255344209615625
1985,30.385657962109573,22.982281105990783
1986,30.854405401945726,23.29091013824885
1987,31.503635432667693,23.96344662058372
1988,31.02986311951551,23.734904214559382
1989,30.6522894265233,23.311213517665127
1990,31.30026524001536,23.60124506963646
1991,31.47082335573477,23.46753219201229
1992,31.53109733561983,23.64234526931158
1993,31.345531428794057,23.320996302603948
1994,31.282030559046685,23.66635369466154
1995,31.57202124935996,23.48723879707612
1996,31.40011619390747,23.50180927444589
1997,31.358789313522312,23.82085952250975
1998,32.0617517921147,24.48245007680492
1999,31.39514656938044,24.110231054787505
2000,31.29053856136447,24.104999073044123
2001,31.700707885304656,23.965225294418843
2002,32.071158474142344,23.747605606758835
2003,32.057947388632876,23.810707885304662
2004,31.946668829563716,23.858373810406622
2005,32.008927291346644,24.3760976702509
2006,31.712073092677937,23.730432667690735
2007,32.05987775217614,24.142508960573476
2008,31.81371554813991,24.115721171672224
2009,32.17090629800307,24.314243471582184
2010,32.845984383000506,24.54703149001536
2011,32.44978878648233,23.925357782898104
2012,32.41607835867012,23.70256859473489
2013,31.982965309779825,24.029535970302103
2014,31.931733870967744,23.94231374807988
2015,32.836920542225045,24.199302929180572
2016,32.55502060522829,24.388471611633577
2017,31.99197426969165,24.357711139807332
