Anos,TempMaxMedia,TempMinMedia
1980,29.58390399999998,22.364140000000017
1981,29.58390399999998,22.364140000000017
1982,29.58390399999998,22.364140000000017
1983,29.585189519713257,22.989018302611374
1984,29.505186009145962,23.128450438759117
1985,29.58390399999998,22.364140000000017
1986,29.180586917562724,22.72964669738863
1987,30.0460209536169,23.476812620528786
1988,29.501364450871336,22.870560671734026
1989,29.385515943149912,23.180846273460812
1990,29.35822652153186,23.394404233573866
1991,29.2796336918269,23.424680637480805
1992,29.102865882726842,23.663866332962552
1993,29.56865180888818,23.756897059342833
1994,29.477955797363034,23.19352728200205
1995,29.530545314900156,22.514747183819765
1996,29.64222345816339,22.78731646273637
1997,29.658938238254148,22.87959794392358
1998,30.009115463389662,23.066632104454687
1999,29.576978432826593,19.912071878807144
2000,29.412128290693364,19.83984272648622
2001,29.588265488991286,20.11691884280594
2002,29.625951100870456,23.81601766513057
2003,29.87203912636616,23.80916560728852
2004,29.731412680756403,23.01537078235076
2005,30.127452636968766,23.30954557091654
2006,30.042636968766008,23.13697132616488
2007,29.73766513056836,22.45834741423451
2008,29.835007415647013,23.861018415523418
2009,29.949987199180743,24.31902585765489
2010,30.594902713773678,24.35649129544292
2011,29.652918586789554,23.450200972862266
2012,29.55791558521815,23.15781454702756
2013,29.849585253456222,23.305885176651305
2014,29.638394777265745,23.16616999487967
2015,29.881715949820787,24.17439516129032
2016,30.052203065134098,25.120503337041157
2017,29.83125448028673,24.30569316436252
