Anos,TempMaxMedia,TempMinMedia
1980,28.887817327895196,21.86866703744902
1981,28.666701868919613,22.170928478732986
1982,28.92652585765489,21.849750384024574
1983,29.50440284178188,22.0246729390681
1984,29.5304372141886,22.043159992584354
1985,29.47438961426864,21.845848848809084
1986,29.030270516623407,22.03868535586278
1987,29.667603399721035,22.279539876759014
1988,29.583646644419726,22.36419694722531
1989,29.401275150421892,22.062302538780106
1990,29.556632892197417,21.638817204301073
1991,29.212593445980545,21.9617620327701
1992,28.9042296996663,22.247574465455443
1993,29.37369111623144,22.379128833134203
1994,29.391684587813614,22.412924347158214
1995,29.551315173826296,21.953837045570918
1996,29.38093035471512,22.760187554072427
1997,29.413828084997437,22.260165130568357
1998,30.1725649751929,22.77005888376856
1999,29.51732718894009,22.4976593701997
2000,29.02667686318131,22.37041002348288
2001,29.361848438300058,22.540218894009215
2002,29.153056195596516,22.636656426011267
2003,29.671530977982595,22.33877240143369
2004,29.66271072796934,22.18931837844519
2005,29.864327316948287,22.442879742924237
2006,30.049935995903734,22.478393210268905
2007,29.5690168970814,22.457213835478573
2008,29.58260690891113,22.254217847873303
2009,29.871444991789826,22.701937475109517
2010,29.979514208909364,22.683406298003074
2011,29.518883768561185,21.990359703020996
2012,29.60173958719565,21.781166419478435
2013,29.96631784434204,22.57171146953405
2014,29.700688044034816,22.237496799795185
2015,30.30419162826421,22.3209536610343
2016,30.471057347670254,22.530008320532517
2017,30.33930043522786,22.245070404505892
