Anos,TempMaxMedia,TempMinMedia
1980,24.481220182919298,15.899053887034974
1981,24.651385170762925,15.678131273169484
1982,24.21852133960573,15.721041523297488
1983,25.458982631720435,15.796409857526891
1984,25.8687319243604,16.160102892102334
1985,25.47547875064004,15.49943356374808
1986,25.50439900153609,16.23542946748592
1987,25.53471646185356,15.668735919098822
1988,24.719524162649865,15.720423000865159
1989,24.469541554107735,15.786193433621134
1990,25.451201996927804,16.10846452456482
1991,25.001057987711217,16.10501664106503
1992,24.81107217896428,16.2834831912001
1993,25.359740783410135,15.710022401433692
1994,26.105208013312847,15.01057731694828
1995,25.73925307219662,16.505785330261137
1996,25.179572673340754,16.16601408972933
1997,25.93475294418843,16.198646313364055
1998,26.27630376344086,16.363513540422144
1999,26.47085893497184,15.50908798576902
2000,25.666480348535412,16.041842788283276
2001,26.558152841781872,16.684665258576548
2002,27.140074884792625,17.15374551971326
2003,26.149788786482336,16.475547875064002
2004,25.349351439871455,15.906865962180204
2005,25.98484639016897,16.614740783410138
2006,26.136753072196615,16.48259984639017
2007,26.831554659498206,16.624871991807474
2008,25.592184526016567,16.084749721913237
2009,26.06965141699504,16.841321482181698
2010,26.28264080901178,16.509996159754227
2011,26.087309907834108,16.195963261648746
2012,26.77124551971326,16.80014893091089
2013,25.139567959459807,16.31220430107527
2014,27.083646313364056,16.960704045058886
2015,26.62129416282642,17.474553251408093
2016,26.267295760721783,16.18968236311952
2017,26.04568548387097,16.577194060419867
