Anos,TempMaxMedia,TempMinMedia
1980,30.02003420908593,18.444854158942032
1981,29.362946570881217,17.73939003350196
1982,29.90654569892473,18.298134920634926
1983,29.93711085509473,18.460492191500254
1984,30.80543319737981,18.126921579532816
1985,30.21524001536098,17.703639272913467
1986,30.542215181771628,18.05185291858679
1987,31.09958717357911,18.279637736815157
1988,30.70183351872451,18.00529013718947
1989,30.185580384730827,17.744491167434717
1990,30.81861479686424,16.99654441884281
1991,30.527107985945587,16.58312467997952
1992,29.67991103430619,16.306071252008405
1993,30.720271929127602,14.946306676730757
1994,30.91364567332309,14.90822211790526
1995,30.717698412698415,18.607452737216025
1996,30.521489618094183,18.215903448028676
1997,30.164112903225814,18.418738479262675
1998,31.562889784946236,19.26589605734767
1999,31.50902969790067,18.44720110087046
2000,30.92764769496972,18.292352305030278
2001,30.867319508448542,18.022885944700462
2002,31.75860343061956,18.935188812083975
2003,31.198685995903734,18.971172555043527
2004,30.871694475342977,18.808995488814734
2005,31.298658474142353,19.374072580645162
2006,31.039130184331796,19.0071198156682
2007,32.130374423963126,19.20208461341526
2008,31.31359627981708,18.67009084167594
2009,31.3243407578085,19.156172555043522
2010,32.37127624167946,19.035310419866875
2011,31.358408858166925,18.797759216589856
2012,31.582151464590282,19.16473643554567
2013,31.446477116073893,19.249701740911423
2014,31.829745263696868,19.275191504670094
2015,32.59242767537122,19.692261264720944
2016,32.449746323075026,19.601940427635647
2017,32.0399091141833,19.25706285202253
