Anos,TempMaxMedia,TempMinMedia
1980,30.680932826597456,23.408868186874304
1981,31.024207629288274,23.564280593958014
1982,30.643353174603174,23.484848950332818
1983,31.56133000512033,24.123936891961083
1984,30.320704177481158,23.182442837720927
1985,29.797183179723508,22.857082693292373
1986,30.14955773169483,23.169850230414752
1987,30.99000704045059,23.78597030209933
1988,30.58618928439007,23.432427697441607
1989,30.114903534664617,23.072482368778804
1990,30.709948796722994,23.56282770097286
1991,30.55130568356375,23.366707629288275
1992,31.182427697441607,23.88971820541342
1993,31.059807347670255,23.763259728622632
1994,30.843019073220685,23.666949564772143
1995,31.115471710189457,23.71158154121864
1996,31.124351130886172,23.721272092448398
1997,31.40710189452125,23.791723630312344
1998,31.795961981566823,24.560625320020478
1999,30.910691884280595,23.490795570916536
2000,31.01289364726239,23.474208688666423
2001,30.964278302611362,23.403243727598568
2002,31.5945078526405,23.569027137736814
2003,31.509637096774195,23.553581029185867
2004,31.365376344086016,23.821567482387838
2005,31.902268945212494,23.772097414234512
2006,31.633865847414228,23.463565668202765
2007,31.44135432667691,24.548476702508964
2008,31.056463972314912,24.215214126807563
2009,31.29738607270865,24.385414746543777
2010,32.17427547363031,24.776874679979517
2011,31.21269137224782,24.251438172043013
2012,32.23615344209615,24.65956109827634
2013,31.417082216717315,24.92350934459805
2014,31.04656347195416,24.612393753200198
2015,32.40009984639017,24.77630120327701
2016,32.513907428006426,24.885053917933508
2017,32.26254868725392,24.45742120875046
