Anos,TempMaxMedia,TempMinMedia
1980,31.766844132399864,22.970623737174417
1981,31.335185869685873,22.83437247474747
1982,31.73748738825674,23.22782778209636
1983,31.899489247311823,23.845928699436765
1984,31.128520578420463,23.02538437770362
1985,31.34448476702509,23.243719918074756
1986,31.062537122375833,23.230495391705066
1987,31.931085090135426,23.678287471087803
1988,31.493618330131117,23.269099307872946
1989,30.62280017921147,23.003605130038668
1990,30.627515138184847,23.142677459434207
1991,31.318111239119307,23.345615975422433
1992,31.68783648498332,23.28965857125201
1993,31.14544226830517,23.04206541218638
1994,31.27063812083973,23.057814900153605
1995,31.751418330773166,23.505301619303633
1996,31.28493264120628,23.2318418613274
1997,32.20376856118792,23.81168074756785
1998,32.032816180235535,22.4154589093702
1999,31.57931835637481,21.447901305683562
2000,32.01445062415029,22.159371832900757
2001,31.94071940604199,23.349434843830007
2002,32.23835317460317,23.956363287250383
2003,32.54522209421402,23.9496524577573
2004,32.46882492893338,23.674805030280556
2005,32.99860599078341,23.89816564260113
2006,32.74372887864823,23.66833653353815
2007,32.544397081413216,23.63898489503329
2008,32.04321344703992,23.43807193177605
2009,32.69719918074756,24.42139336917562
2010,33.0024321115172,24.461203917050693
2011,32.46080517153098,24.472512800819256
2012,32.50811704362872,24.689257508342607
2013,32.57319636456734,24.88009792626728
2014,32.60422747055812,25.110633640552994
2015,33.59486239119305,25.659187788018432
2016,33.019833394250455,25.58995210727969
2017,32.680852833738435,25.090505522008584
