Anos,TempMaxMedia,TempMinMedia
1980,28.236597355531185,21.442961790388264
1981,28.062815373350272,21.353255428146728
1982,27.374880103556574,21.11712269756387
1983,26.945721966205834,21.1790085765489
1984,27.46041682115931,21.13077390798109
1985,27.057134536610338,20.8390891031554
1986,27.765913978494623,21.37078801907322
1987,27.65895481310804,21.228255248335895
1988,27.28851748856754,20.769111976269933
1989,27.09911551867707,20.913781514939288
1990,27.779606295954938,21.2895764828469
1991,26.873656894123002,21.202034873212806
1992,27.38978399999999,22.366884000000002
1993,27.38978399999999,22.366884000000002
1994,27.38978399999999,22.366884000000002
1995,27.38978399999999,22.366884000000002
1996,27.38978399999999,22.366884000000002
1997,27.38978399999999,22.366884000000002
1998,27.38978399999999,22.366884000000002
1999,27.38978399999999,22.366884000000002
2000,27.38978399999999,22.366884000000002
2001,27.38978399999999,22.366884000000002
2002,30.15648729749104,22.065868835304666
2003,30.60111195210867,22.156017906743127
2004,29.63421146953405,21.44141577060932
2005,30.57163850486431,22.0181746031746
2006,30.25964821021272,21.77231979937625
2007,30.872865364350705,21.93089334528077
2008,29.804533741193925,21.478440551229763
2009,30.847543807248098,22.209357398873532
2010,30.84615015360983,22.18010560675883
2011,29.914674219150026,21.58517729134665
2012,30.798241564701517,22.120173958719565
2013,29.46009561655424,21.749103418982447
2014,29.801418330773174,22.017440476190473
2015,29.989206989247318,22.502472478238612
2016,29.201253553330858,21.908962118403167
2017,28.977463526881706,22.95857742857143
