,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,2/1981,29.375227423076925,29.515384615384615,26
1,3/1981,28.553514066666658,28.643333333333334,30
2,4/1981,27.194164392857136,26.810714285714283,28
3,5/1981,25.881779517241373,25.837931034482757,29
4,6/1981,24.316806740740734,24.462962962962955,27
5,7/1981,23.779592206896556,24.2896551724138,29
6,8/1981,25.881675074074078,26.15185185185185,27
7,9/1981,28.34393785185186,29.211111111111112,27
8,10/1981,26.070315,26.45172413793103,29
9,11/1981,27.13954603846154,27.27692307692308,26
10,12/1981,28.127008576923078,27.911538461538466,26
11,1/1982,27.153793142857133,26.771428571428572,28
12,2/1982,29.648971321428572,29.41428571428571,28
13,3/1982,27.55084213793103,27.40344827586207,29
14,4/1982,26.47380256666667,26.289999999999996,30
15,5/1982,24.75573155172414,24.858620689655172,29
16,6/1982,26.247903965517242,26.272413793103443,29
17,7/1982,24.78308886206897,25.331034482758625,29
18,8/1982,26.095947571428574,26.696428571428566,28
19,9/1982,26.677310133333332,27.43333333333333,30
20,10/1982,28.094648899999996,28.703333333333333,30
21,11/1982,30.898506846153847,31.28076923076923,26
22,12/1982,26.970984678571426,27.364285714285717,28
23,1/1983,26.904099774193547,26.82258064516129,31
24,2/1983,28.184747807692307,28.42692307692308,26
25,3/1983,27.83776864285714,28.021428571428576,28
26,4/1983,27.76504006896552,27.937931034482766,29
27,5/1983,26.528698322580645,26.9516129032258,31
28,6/1983,26.44696237931035,26.893103448275852,29
29,7/1983,25.55938073333333,26.373333333333342,30
30,8/1983,25.68542958064516,26.458064516129028,31
31,9/1983,25.780464714285706,26.48928571428572,28
32,10/1983,26.190458387096765,26.277419354838713,31
33,11/1983,27.14122321428572,27.125000000000007,28
34,12/1983,26.85530232258065,27.019354838709678,31
35,1/1986,28.218671612903222,28.487096774193553,31
36,2/1986,29.12747517857142,29.41785714285714,28
37,3/1986,29.667489838709677,29.999999999999996,31
38,4/1986,28.19462316666667,28.37333333333333,30
39,5/1986,26.87269261290323,26.864516129032253,31
40,6/1986,24.340253866666668,24.32,30
41,7/1986,24.093456709677415,24.170967741935485,31
42,8/1986,26.24036958064516,26.158064516129038,31
43,9/1986,26.036831033333335,26.00333333333333,30
44,10/1986,28.91628148387097,29.08709677419355,31
45,11/1986,28.514499333333337,28.86000000000001,30
46,12/1986,27.300209612903217,27.348387096774193,31
47,1/1988,29.659027096774192,29.970967741935485,31
48,2/1988,28.667510482758615,28.87931034482759,29
49,3/1988,28.886050548387093,28.764516129032252,31
50,4/1988,27.988531333333338,27.62,30
51,5/1988,27.48005896774194,27.503225806451603,31
52,6/1988,24.5345306,24.54666666666667,30
53,7/1988,23.074114580645162,23.164516129032258,31
54,8/1988,25.441916935483867,25.27741935483871,31
55,9/1988,28.581146600000004,29.42,30
56,10/1988,27.330203838709686,27.716129032258063,31
57,11/1988,26.61833783333333,26.973333333333333,30
58,12/1988,28.399631129032258,28.25806451612903,31
59,1/1989,29.383854935483875,29.68387096774193,31
60,2/1989,29.327058892857142,29.592857142857145,28
61,3/1989,29.05186083870968,29.161290322580644,31
62,4/1989,29.138576466666667,29.116666666666664,30
63,5/1989,25.886821548387093,26.07741935483871,31
64,6/1989,24.680455900000005,24.063333333333333,30
65,7/1989,23.768374612903234,23.632258064516126,31
66,8/1989,24.75863291666667,23.458333333333332,24
67,9/1989,28.09858880000001,28.15333333333333,30
68,10/1989,26.965713451612906,26.809677419354838,31
69,11/1989,26.953121533333338,26.76,30
70,12/1989,26.548459354838705,25.948387096774198,31
71,1/1990,30.206688483870966,29.874193548387105,31
72,2/1990,29.55961842857143,29.003571428571426,28
73,3/1990,30.050628333333336,29.65666666666667,30
74,4/1990,29.38906253333333,28.776666666666674,30
75,5/1990,25.907120161290322,25.73548387096775,31
76,6/1990,25.125796200000007,24.696666666666662,30
77,7/1990,25.07142161290323,25.154838709677417,31
78,8/1990,23.60465570967742,23.63225806451613,31
79,9/1990,25.8871576,25.93666666666667,30
80,10/1990,27.79344867741934,27.951612903225804,31
81,11/1990,29.958540766666665,30.110000000000007,30
82,12/1990,28.523541612903227,28.483870967741936,31
83,1/1991,26.536720838709677,26.11290322580646,31
84,2/1991,28.79014903571428,28.760714285714283,28
85,3/1991,27.926461774193548,27.416129032258063,31
86,4/1991,27.309345033333337,27.056666666666665,30
87,5/1991,25.125122903225805,24.706451612903233,31
88,6/1991,25.250387766666673,25.07666666666666,30
89,7/1991,23.790972903225807,23.619354838709675,31
90,8/1991,25.027302258064523,25.016129032258068,31
91,9/1991,25.793590666666667,26.236666666666668,30
92,10/1991,26.97777090322581,26.67096774193549,31
93,11/1991,28.218648833333337,28.263333333333335,30
94,12/1991,28.681178838709684,28.63548387096774,31
95,1/1992,26.26137783870968,26.161290322580648,31
96,2/1992,27.292324620689648,27.06206896551725,29
97,3/1992,28.35624270967742,28.374193548387098,31
98,4/1992,28.328204666666668,27.953333333333322,30
99,5/1992,27.424003290322577,26.95806451612903,31
100,6/1992,24.931709499999997,24.31333333333333,30
101,7/1992,24.23669583870968,24.122580645161293,31
102,8/1992,25.000568032258066,25.196774193548386,31
103,9/1992,24.057678900000003,24.14333333333333,30
104,10/1992,26.28808264516129,26.187096774193545,31
105,11/1992,26.66579726666667,26.363333333333333,30
106,12/1992,26.78934948387097,26.577419354838714,31
107,1/1993,28.761136806451617,28.56129032258065,31
108,2/1993,28.219755714285714,27.832142857142863,28
109,3/1993,29.71653996774193,29.535483870967738,31
110,4/1993,27.929845399999994,27.35666666666667,30
111,5/1993,24.788468096774196,24.609677419354835,31
112,6/1993,23.8717624,23.686666666666667,30
113,7/1993,25.6513263548387,25.887096774193544,31
114,8/1993,25.27837025806451,25.51935483870967,31
115,9/1993,28.452940266666666,28.77,30
116,10/1993,28.41399687096774,28.251612903225798,31
117,11/1993,29.37014673333333,29.029999999999998,30
118,12/1993,27.48467896774194,27.280645161290327,31
119,1/1994,27.851020999999992,27.516129032258064,31
120,2/1994,31.251898464285713,30.639285714285712,28
121,3/1994,27.149456064516126,26.774193548387096,31
122,4/1994,27.363203233333333,26.889999999999997,30
123,5/1994,26.718675612903223,26.30322580645161,31
124,6/1994,24.71904466666666,24.99666666666667,30
125,7/1994,24.16508441935484,24.380645161290325,31
126,8/1994,25.467802677419353,26.20322580645161,31
127,9/1994,27.68718333333333,27.940000000000005,30
128,10/1994,28.648656483870962,28.67741935483871,31
129,11/1994,27.62648413333333,27.63999999999999,30
130,12/1994,28.299737838709675,28.164516129032258,31
131,1/1995,30.695585032258062,30.593548387096774,31
132,2/1995,28.979830857142854,28.528571428571432,28
133,3/1995,28.94467161290322,28.403225806451605,31
134,4/1995,27.681478799999994,27.383333333333336,30
135,5/1995,25.963255419354834,25.48387096774194,31
136,6/1995,24.642776233333333,24.440000000000005,30
137,7/1995,24.78983629032258,24.700000000000003,31
138,8/1995,27.617120741935487,27.477419354838712,31
139,9/1995,27.22425903333334,27.12333333333334,30
140,10/1995,27.821999064516124,28.009677419354833,31
141,11/1995,26.857383033333335,26.466666666666665,30
142,12/1995,27.376893161290322,27.38387096774194,31
143,1/1996,29.604151096774196,29.354838709677427,31
144,2/1996,29.841779931034477,29.33793103448276,29
145,3/1996,29.557825645161287,29.00645161290323,31
146,4/1996,27.656251900000008,27.13,30
147,5/1996,25.14772696774193,24.95806451612903,31
148,6/1996,24.297214533333328,24.289999999999996,30
149,7/1996,24.688123967741937,24.612903225806452,31
150,8/1996,24.866314741935483,25.067741935483873,31
151,9/1996,25.950196833333333,26.14,30
152,10/1996,28.351205548387096,28.270967741935486,31
153,11/1996,26.1134968,25.569999999999993,30
154,12/1996,28.247571,27.883870967741938,31
