Data,TempMax,TempMaxPredicted
1980-01-01,29.0,29.351355
1980-01-02,29.1,29.918722
1980-01-03,29.0,29.636633
1980-01-04,28.9,27.559402
1980-01-05,28.8,29.252687
1980-01-06,29.4,28.61561
1980-01-07,28.0,28.850397
1980-01-08,29.2,29.445719
1980-01-09,28.6,29.289856
1980-01-10,29.7,30.148426
1980-01-11,29.6,30.047583
1980-01-12,30.0,30.721548
1980-01-13,29.7,30.42278
1980-01-14,29.1,29.893806
1980-01-15,29.6,30.530752
1980-01-16,29.8,30.52786
1980-01-17,29.9,30.26113
1980-01-18,28.2,29.189222
1980-01-19,29.4,30.146
1980-01-20,29.8,30.235996
1980-01-21,29.4,30.053593
1980-01-22,30.2,30.55406
1980-01-23,29.6,30.648104
1980-01-24,30.0,30.910082
1980-01-25,29.8,30.620762
1980-01-26,29.6,30.49523
1980-01-27,29.8,30.789328
1980-01-28,29.6,30.4965
1980-01-29,30.2,30.524902
1980-01-30,31.8,30.357485
1980-01-31,29.6,29.941095
1980-02-01,29.4,28.428495
1980-02-02,30.6,29.56045
1980-02-03,31.8,30.412537
1980-02-04,32.6,31.468458
1980-02-05,27.8,27.6812
1980-02-06,25.4,26.718748
1980-02-07,27.2,26.537115
1980-02-08,27.0,26.536951
1980-02-09,27.8,28.744192
1980-02-10,29.0,28.979654
1980-02-11,29.3,30.008318
1980-02-12,29.4,30.208603
1980-02-13,29.6,30.506481
1980-02-14,29.6,30.487364
1980-02-15,28.2,27.363722
1980-02-16,29.4,28.60008
1980-02-17,27.5,27.576853
1980-02-18,29.0,29.45876
1980-02-19,28.7,29.393934
1980-02-20,29.0,29.942366
1980-02-21,29.6,30.645992
1980-02-22,29.2,30.09834
1980-02-23,29.4,30.355581
1980-02-24,28.8,29.333384
1980-02-25,28.4,28.883879
1980-02-26,28.6,30.204462
1980-02-27,29.6,30.698933
1980-02-28,28.4,28.944294
1980-02-29,29.2,29.390512
1980-03-01,29.2,29.216402
1980-03-02,28.8,29.54603
1980-03-03,28.4,29.081423
1980-03-04,27.1,27.986616
1980-03-05,29.0,29.02682
1980-03-06,27.8,28.603762
1980-03-07,28.8,29.062712
1980-03-08,29.1,29.44691
1980-03-09,29.2,29.3638
1980-03-10,29.2,29.301086
1980-03-11,29.4,29.895662
1980-03-12,29.2,28.920004
1980-03-13,29.6,29.725002
1980-03-14,29.4,29.56996
1980-03-15,29.9,30.058638
1980-03-16,29.4,30.12752
1980-03-17,29.6,30.524057
1980-03-18,29.4,28.982452
1980-03-19,28.2,27.927767
1980-03-20,29.2,30.074875
1980-03-21,28.4,29.224527
1980-03-22,29.1,29.586393
1980-03-23,29.2,29.595898
1980-03-24,29.6,29.68045
1980-03-25,29.4,29.485292
1980-03-26,29.4,29.40114
1980-03-27,29.4,30.100855
1980-03-28,29.6,30.434355
1980-03-29,29.7,30.456156
1980-03-30,29.2,29.96532
1980-03-31,29.4,29.562717
1980-04-01,29.2,29.006712
1980-04-02,30.2,30.966883
1980-04-03,29.7,30.944668
1980-04-04,29.6,30.451492
1980-04-05,29.2,29.572523
1980-04-06,29.5,29.929922
1980-04-07,29.8,30.591875
1980-04-08,29.4,30.620523
1980-04-09,29.6,30.513475
1980-04-10,29.6,30.189535
1980-04-11,30.0,30.98282
1980-04-12,29.6,30.554663
1980-04-13,29.3,30.485704
1980-04-14,29.2,30.189653
1980-04-15,29.8,30.585817
1980-04-16,29.6,30.481203
1980-04-17,29.4,30.616224
1980-04-18,29.6,30.824728
1980-04-19,29.4,30.414734
1980-04-20,29.2,30.255438
1980-04-21,29.6,29.981993
1980-04-22,29.6,30.527702
1980-04-23,29.6,30.49111
1980-04-24,29.6,28.985949
1980-04-25,29.3,29.633831
1980-04-26,29.0,29.365986
1980-04-27,29.0,29.155638
1980-04-28,28.5,28.252516
1980-04-29,28.7,28.722054
1980-04-30,29.0,29.347477
1980-05-01,29.2,29.363644
1980-05-02,29.2,30.023619
1980-05-03,29.4,30.348806
1980-05-04,29.4,29.884136
1980-05-05,29.4,30.209139
1980-05-06,29.0,29.932653
1980-05-07,29.2,29.847828
1980-05-08,29.2,28.662031
1980-05-09,28.6,28.779762
1980-05-10,29.2,29.576769
1980-05-11,28.9,28.815403
1980-05-12,28.8,29.439123
1980-05-13,28.4,28.037912
1980-05-14,28.6,29.433712
1980-05-15,28.8,29.351168
1980-05-16,27.8,27.606646
1980-05-17,28.4,28.651873
1980-05-18,28.2,29.145771
1980-05-19,28.6,28.846554
1980-05-20,28.6,29.289598
1980-05-21,28.6,29.20784
1980-05-22,28.6,29.286629
1980-05-23,28.8,29.342836
1980-05-24,28.4,28.98557
1980-05-25,28.8,29.130014
1980-05-26,28.8,29.289661
1980-05-27,28.4,28.718523
1980-05-28,28.5,28.367197
1980-05-29,28.2,28.611647
1980-05-30,28.4,29.046515
1980-05-31,28.6,29.306576
1980-06-01,28.6,28.748919
1980-06-02,26.6,27.454626
1980-06-03,28.4,28.947046
1980-06-04,28.2,28.311163
1980-06-05,28.4,28.529104
1980-06-06,27.9,28.52075
1980-06-07,28.3,28.78982
1980-06-08,26.6,26.86366
1980-06-09,27.2,27.466776
1980-06-10,28.0,28.359827
1980-06-11,28.0,28.45112
1980-06-12,27.6,27.210104
1980-06-13,25.8,25.988438
1980-06-14,27.5,28.387043
1980-06-15,27.6,27.85071
1980-06-16,27.9,28.19359
1980-06-17,27.6,26.80514
1980-06-18,26.2,26.87798
1980-06-19,27.5,28.121561
1980-06-20,27.6,27.987528
1980-06-21,27.6,28.303423
